NEW_ID,LOCATION,WEP,CCI,MAIN_ROCK,DRYVER_GROUP`,SUB_ROCK,ROCK_GROUP,MAINXSUB,0P_AV_Sq,0P_AV_Sz,0P_AV_Ssk,20P_AV_Sq,20P_AV_Sz,20P_AV_Ssk,0P_AV_TIME,1P_AV_TIME,20P_AV_TIME,0P_1P_AV_TIME,0P_20P_AV_TIME,0_1_RATIO,0_20_RATIO,1P_AV_D,20P_AV_D,1P_20P_DEL
WVLV325A,Wright,0.934395698,1.897628798,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,5.92973063,51.98464208,0.513666281,4.82578801,46.66129323,0.162600501,98,151,179,53,81,1.54,1.83,6.67,16.67,10
WVLV325B,Wright,0.92039478,1.027462635,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,4.040451633,30.15344613,0.687497521,4.180173029,39.57082699,0.36184476,140,173,80,33,-60,1.24,0.57,6.67,13.33,6.67
WVLV326A,Wright,0.959597351,-0.517087189,diamictite,Older Glacial,sand fanglomerate,conglomerate,sandy conglomerate,5.320624457,42.15101586,-0.007339562,3.574623504,35.72851498,0.851146714,77,72,58,-5,-19,0.94,0.75,6.67,23.33,16.67
WVLV326B,Wright,0.869591449,-0.38035519,till,Older Glacial,sand fanglomerate,conglomerate,sandy conglomerate,4.457710478,34.74979282,0.281011926,3.987431722,35.58498057,1.471120503,60,97,75,37,15,1.62,1.25,11.67,21.67,10
WVLV375A,Wright,0.893593023,1.207061964,diamictite,Older Glacial,sand mud gravel evaporite,conglomerate,sandy gravel conglomerate,5.277923263,51.47325374,1.013646096,8.45590571,64.08351349,0.006255802,95,87,54,-8,-41,0.92,0.57,26.67,16.67,-10
WVLV375B,Wright,0.907993967,0.752051913,diamictite,Older Glacial,sand mud gravel evaporite,conglomerate,sandy gravel conglomerate,4.882785852,52.60935204,0.995891065,7.294407169,56.05159126,0.116626566,66,168,67,102,1,2.55,1.02,15,18.33,3.33
WVLV376A,Wright,0.948396616,NA,till,Older Glacial,sand mud gravel evaporite,conglomerate,sandy gravel congolmerate,4.519707332,42.59515866,1.529428364,7.485868512,53.49569574,-0.346870523,37,107,109,70,72,2.89,2.95,18.33,35,16.67
WVLV376B,Wright,0.910394125,NA,sand,Aeolian,sand mud gravel evaporite,conglomerate,sand,3.832106795,37.84891822,0.854073945,7.497066345,53.75807968,-0.161130694,39,53,55,14,16,1.36,1.41,20,21.67,1.67
WVLV377A,Wright,0.892392944,-0.802025885,sand,Aeolian,sand silt gravel,conglomerate,sand,4.20392217,33.20044487,1.008873453,6.620719944,47.49627493,-0.06808337,97,59,78,-38,-19,0.61,0.8,8.33,21.67,13.33
WVLV377B,Wright,0.741406309,-0.669326458,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,42,65,99,23,57,1.55,2.36,10,15,5
WVLV378A,Wright,0.733982557,-0.802025885,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,5.754632131,42.04473807,-0.078651224,4.519742746,36.0708272,1.026505698,35,52,58,17,23,1.49,1.66,6.67,16.67,10
WVLV378B,Wright,0.810067546,-0.669326458,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,5.106004658,36.10999394,0.075635142,4.467911072,31.19846197,0.82996848,37,75,47,38,10,2.03,1.27,13.33,15,1.67
